지자체,빈집,범죄발생건수
서울특별시,"100,706","274,830"
부산광역시,"110,500","113,558"
대구광역시,"43,086","72,339"
인천광역시,"72,036","85,432"
광주광역시,"39,205","44,610"
대전광역시,"26,262","41,921"
울산광역시,"29,569","23,463"
세종특별자치시,"12,388","6,147"
경기도,"262,266","388,004"
강원도,"80,609","45,398"
충청북도,"68,843","47,020"
충청남도,"101,637","63,290"
전라북도,"90,190","52,587"
전라남도,"119,711","60,205"
경상북도,"127,459","75,300"
경상남도,"134,925","111,102"
제주특별자치도,"32,162","26,499"
