GIS건물통합식별번호,고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건물식별번호,집합건물구분코드,집합건물구분,대장종류코드,대장종류,건물명,건물동명,건물주부구분코드,건물주부구분명,건물대지면적,건물건축면적,건물연면적,용적율,건폐율,건축물구조코드,건축물구조명,주요용도코드,주요용도명,세부용도코드,세부용도명,건물용도분류코드,건물용도분류명,건물높이,지상층수,지하층수,허가일자,사용승인일자,데이터기준일자
1971168463474416445200000000,2814010700100550116,2814010700,인천광역시 동구 송림동,1,일반,55-116,8678,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,19.83,39.66,0,0,21,철근콘크리트구조,03000,제1종근린생활시설,03001,소매점,2,상업용,0,2,0,1971-08-05,1971-09-01,2023-09-14
1971168451614416458300000000,2814010700100550118,2814010700,인천광역시 동구 송림동,1,일반,55-118,8680,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,19.83,39.66,0,0,21,철근콘크리트구조,01000,단독주택,01001,단독주택,1,주거용,0,2,0,1971-08-05,1971-09-01,2023-09-14
1971168437554416485600000000,2814010700100550120,2814010700,인천광역시 동구 송림동,1,일반,55-120,8682,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,19.83,39.66,0,0,21,철근콘크리트구조,03000,제1종근린생활시설,03001,소매점,2,상업용,0,2,0,1971-08-05,1971-09-01,2023-09-14
1971168425914416502100000000,2814010700100550122,2814010700,인천광역시 동구 송림동,1,일반,55-122,8684,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,19.83,39.66,0,0,21,철근콘크리트구조,01000,단독주택,01001,단독주택,1,주거용,0,2,0,1971-08-05,1971-09-01,2023-09-14
1971168413934416523300000000,2814010700100550124,2814010700,인천광역시 동구 송림동,1,일반,55-124,8686,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,19.83,39.66,0,0,21,철근콘크리트구조,01000,단독주택,01001,단독주택,1,주거용,0,2,0,1971-08-05,1971-09-01,2023-09-14
1971168471874416276200000000,2814010700100550152,2814010700,인천광역시 동구 송림동,1,일반,55-152,8712,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,99.9,286.11,0,0,21,철근콘크리트구조,03000,제1종근린생활시설,03001,소매점,2,상업용,0,3,0,1971-08-05,1971-09-01,2023-09-14
1971168486304416390800000000,2814010700100550153,2814010700,인천광역시 동구 송림동,1,일반,55-153,12023,2,집합건축물,3,표제부,,,0,주건축물,0,266.41,860.85,0,0,21,철근콘크리트구조,04000,제2종근린생활시설,03001,소매점,2,상업용,0,3,1,1971-08-05,1971-09-01,2023-09-14
1967168381144417746000000000,2814010700100550158,2814010700,인천광역시 동구 송림동,1,일반,55-158,8713,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,57.79,57.79,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,1967-09-28,1967-12-10,2023-09-14
2000168389844417723200000000,2814010700100550161,2814010700,인천광역시 동구 송림동,1,일반,55-161,8714,1,일반건축물,2,일반건축물대방,,,0,주건축물,93.6,58.2,58.2,62.18,62.18,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,3,1,0,1993-08-25,2000-08-08,2023-09-14
1975168444734416149900000000,2814010700100550169,2814010700,인천광역시 동구 송림동,1,일반,55-169,8716,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,541.06,1084.6,0,0,21,철근콘크리트구조,14000,업무시설,14204,사무소,2,상업용,0,2,1,1975-11-15,1975-12-05,2023-09-14
1977168409944416242400000000,2814010700100550173,2814010700,인천광역시 동구 송림동,1,일반,55-173,8717,1,일반건축물,2,일반건축물대방,,,0,주건축물,253.6,209.9,236.39,93.21,79.98,11,벽돌구조,04000,제2종근린생활시설,04001,일반음식점,2,상업용,6.5,2,0,1976-12-17,1977-06-03,2023-09-14
1977168408854416007600000000,2814010700100550179,2814010700,인천광역시 동구 송림동,1,일반,55-179,8720,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,44.53,89.06,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,2,0,1976-12-17,1977-06-03,2023-09-14
0000168370624417239800000000,2814010700100550183,2814010700,인천광역시 동구 송림동,1,일반,55-183,8722,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,39.95,39.95,0,0,11,벽돌구조,03000,제1종근린생활시설,03001,소매점,2,상업용,0,1,0,,,2023-09-14
1992168420664416151100000000,2814010700100550184,2814010700,인천광역시 동구 송림동,1,일반,55-184,8723,1,일반건축물,2,일반건축물대방,,,0,주건축물,369.9,169.04,1022.64,218.51,45.69,21,철근콘크리트구조,04000,제2종근린생활시설,04402,사무소,2,상업용,21.5,7,1,1990-07-31,1992-09-29,2023-09-14
1981168371574416271000000000,2814010700100550185,2814010700,인천광역시 동구 송림동,1,일반,55-185,8724,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,51.27,128.62,0,0,21,철근콘크리트구조,01000,단독주택,01001,단독주택,1,주거용,0,3,0,1979-12-29,1981-04-28,2023-09-14
1981168381274416255600000000,2814010700100550187,2814010700,인천광역시 동구 송림동,1,일반,55-187,8726,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,51.27,99.37,0,0,21,철근콘크리트구조,01000,단독주택,01001,단독주택,1,주거용,0,2,0,1979-12-29,1981-04-28,2023-09-14
1981168391444416306800000000,2814010700100550189,2814010700,인천광역시 동구 송림동,1,일반,55-189,8728,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,44.36,85.55,0,0,21,철근콘크리트구조,01000,단독주택,01001,단독주택,1,주거용,0,2,0,1979-12-29,1981-04-28,2023-09-14
