GIS건물통합식별번호,고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건물식별번호,집합건물구분코드,집합건물구분,대장종류코드,대장종류,건물명,건물동명,건물주부구분코드,건물주부구분명,건물대지면적,건물건축면적,건물연면적,용적율,건폐율,건축물구조코드,건축물구조명,주요용도코드,주요용도명,세부용도코드,세부용도명,건물용도분류코드,건물용도분류명,건물높이,지상층수,지하층수,허가일자,사용승인일자,데이터기준일자
1995171661704347060000000000,2818510300106210008,2818510300,인천광역시 연수구 연수동,1,일반,621-8,4355,1,일반건축물,2,일반건축물대방,,,0,주건축물,219,129.73,500.64,228.6,59.24,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,12.5,4,0,1994-10-10,1995-12-02,2023-09-14
1995171672304347176400000000,2818510300106210009,2818510300,인천광역시 연수구 연수동,1,일반,621-9,4356,1,일반건축물,2,일반건축물대방,,,0,주건축물,219.1,129.81,492.39,168.7,59.25,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,10.3,3,1,1994-08-09,1995-03-29,2023-09-14
1995171681584347292100000000,2818510300106210010,2818510300,인천광역시 연수구 연수동,1,일반,621-10,4357,1,일반건축물,2,일반건축물대방,,,0,주건축물,219.1,129.6,494.28,225.6,59.15,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,13.3,4,0,1994-09-15,1995-04-13,2023-09-14
1997171691244347405700000000,2818510300106210011,2818510300,인천광역시 연수구 연수동,1,일반,621-11,4358,1,일반건축물,2,일반건축물대방,,,0,주건축물,219.2,129.73,500.64,228.39,59.18,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,12.5,4,0,1994-10-10,1997-09-04,2023-09-14
1996171638464347071600000000,2818510300106220000,2818510300,인천광역시 연수구 연수동,1,일반,622,100184848,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,103.64,310.92,0,0,21,철근콘크리트구조,11000,노유자시설,11201,노인복지시설,6,문교사회용,5.1,3,0,,1996-12-26,2023-09-14
2009171680994347624200000000,2818510300106220000,2818510300,인천광역시 연수구 연수동,1,일반,622,4360,1,일반건축물,2,일반건축물대방,,,0,주건축물,,7.5,2146.35,,,21,철근콘크리트구조,20000,자동차관련시설,20001,주차장,2,상업용,,1,1,,2009-12-30,2023-09-14
1994171611504347035700000000,2818510300106230000,2818510300,인천광역시 연수구 연수동,1,일반,623,4361,1,일반건축물,2,일반건축물대방,,,0,주건축물,227.3,119.28,561.82,207.05,52.48,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,14,4,1,1994-06-09,1994-11-23,2023-09-14
1997171627664346914600000000,2818510300106230001,2818510300,인천광역시 연수구 연수동,1,일반,623-1,4362,1,일반건축물,2,일반건축물대방,,,0,주건축물,227.9,131.84,492.86,216.26,57.85,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,12.7,4,0,1995-11-08,1997-12-15,2023-09-14
1995171638324346798000000000,2818510300106230002,2818510300,인천광역시 연수구 연수동,1,일반,623-2,4363,1,일반건축물,2,일반건축물대방,,,0,주건축물,228.1,136.08,489.17,214.45,59.66,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,13.8,4,0,1995-04-19,1995-09-28,2023-09-14
1995171650304346698100000000,2818510300106230003,2818510300,인천광역시 연수구 연수동,1,일반,623-3,4364,1,일반건축물,2,일반건축물대방,,,0,주건축물,227.4,134.94,494.73,200.07,59.34,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,12.7,4,1,1994-07-23,1995-02-28,2023-09-14
1994171640414346581300000000,2818510300106230004,2818510300,인천광역시 연수구 연수동,1,일반,623-4,4365,1,일반건축물,2,일반건축물대방,,,0,주건축물,227.3,135.78,494.22,166.59,59.46,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,9.4,3,1,1994-05-30,1994-10-24,2023-09-14
